project,pkg_name,syscall,path,type
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/libnet.so,top
bazel-deps,tzdata,read,/usr/share/zoneinfo/Etc/UTC,transitive
bazel-deps,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/libgcc.a,transitive
bazel-deps,binutils,execve,/usr/bin/ld,transitive
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/ld-2.31.so,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/policy/limited/default_US_export.policy,top
bazel-deps,libgpg-error0,openat,/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.29.0,top
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/policy/unlimited/default_local.policy,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjsound.so,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/keytool,top
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/libc-2.31.so,transitive
bazel-deps,unknown,openat,/dev/urandom,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/jexec,top
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/jfr,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjli.so,top
bazel-deps,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/libc.so,transitive
bazel-deps,openjdk-17-jre-headless,openat,/etc/java-17-openjdk/security/java.security,top
bazel-deps,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/crtendS.o,transitive
bazel-deps,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/crtbeginS.o,transitive
bazel-deps,openjdk-17-jre,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libawt_xawt.so,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jrunscript,transitive
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjsvml.so,top
bazel-deps,unknown,read,/etc/nsswitch.conf,unknown
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/server,unknown
bazel-deps,libgcc-s1,openat,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,transitive
bazel-deps,base-files,read,/usr/lib/os-release,transitive
bazel-deps,unknown,openat,/dev/null,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/jvm.cfg-default,top
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/security,unknown
bazel-deps,unknown,execve,/usr/bin/ps,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjavajpeg.so,top
bazel-deps,libsystemd0,read,/usr/lib/x86_64-linux-gnu/libsystemd.so.0.30.0,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libinstrument.so,top
bazel-deps,g++-10,execve,/usr/lib/gcc/x86_64-linux-gnu/10/cc1plus,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jhsdb,transitive
bazel-deps,libmpc3,openat,/usr/lib/x86_64-linux-gnu/libmpc.so.3.2.0,transitive
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/conf/management,unknown
bazel-deps,coreutils,execve,/usr/bin/env,top
bazel-deps,unknown,openat,/sys/fs/cgroup/user.slice/user-1001.slice/session-190.scope/memory.max,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/jrt-fs.jar,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/include/jdwpTransport.h,transitive
bazel-deps,cpp-10,execve,/usr/lib/gcc/x86_64-linux-gnu/10/cc1,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjsig.so,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jimage,transitive
bazel-deps,gcc,execve,/usr/bin/gcc,top
bazel-deps,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/libgcc_s.so,transitive
bazel-deps,libtinfo6,openat,/usr/lib/x86_64-linux-gnu/libtinfo.so.6.2,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/default.policy,top
bazel-deps,unknown,execve,/usr/bin/chmod,unknown
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/libnss_dns-2.31.so,transitive
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjava.so,top
bazel-deps,zlib1g,openat,/usr/lib/x86_64-linux-gnu/libz.so.1.2.11,transitive
bazel-deps,libbinutils,read,/usr/lib/x86_64-linux-gnu/libbfd-2.35.2-system.so,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jfr,transitive
bazel-deps,unknown,openat,/sys/kernel/mm/transparent_hugepage/hpage_pmd_size,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/jar.binfmt,top
bazel-deps,libc6,openat,/usr/lib/x86_64-linux-gnu/libpthread-2.31.so,transitive
bazel-deps,binutils,execve,/usr/bin/ld.gold,transitive
bazel-deps,unknown,write,/home/zhengshenyu/experiments/experiments/experiments.log,unknown
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_NAME,top
bazel-deps,unknown,openat,/usr/lib/x86_64-linux-gnu,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/include/classfile_constants.h,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/nss.cfg,top
bazel-deps,libstdc++6,read,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28,transitive
bazel-deps,libselinux1,read,/usr/lib/x86_64-linux-gnu/libselinux.so.1,transitive
bazel-deps,libc6-dev,read,/usr/lib/x86_64-linux-gnu/Scrt1.o,transitive
bazel-deps,libc6-dev,openat,/usr/include/stdc-predef.h,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jcmd,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/jfr/profile.jfc,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libzip.so,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jmap,transitive
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_MESSAGES/SYS_LC_MESSAGES,top
