project,pkg_name,syscall,path,type
bazel-bsp,unknown,openat,/usr/lib/python3.9/encodings/__pycache__/aliases.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/encodings/__pycache__/__init__.cpython-39.pyc,unknown
bazel-bsp,unknown,write,/dev/null,unknown
bazel-bsp,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/conf/security,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/_weakrefset.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/collections/__pycache__/abc.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/bin,unknown
bazel-bsp,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_MESSAGES,top
bazel-bsp,unknown,openat,/usr/lib/python3.9/encodings,unknown
bazel-bsp,unknown,openat,/usr/lib/x86_64-linux-gnu,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/locale.cpython-39.pyc,unknown
bazel-bsp,grep,execve,/usr/bin/grep,top
bazel-bsp,tzdata,read,/etc/timezone,transitive
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/operator.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/collections/__pycache__/__init__.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/bisect.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/etc/passwd,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/re.cpython-39.pyc,unknown
bazel-bsp,coreutils,execve,/usr/bin/cp,top
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/site.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/_sitebuiltins.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/genericpath.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/random.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/shutil.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/share/git-core/templates,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/gettext.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/os.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/etc/ssl/certs/java/cacerts,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/signal.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/functools.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/argparse.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/warnings.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/conf/security/policy/limited,unknown
bazel-bsp,unknown,openat,/etc/hosts,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/lzma.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/lib-dynload,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/codecs.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/usr/lib/python3.9/__pycache__/posixpath.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/bz2.cpython-39.pyc,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/__pycache__/selectors.cpython-39.pyc,unknown
bazel-bsp,unknown,openat,/etc/nsswitch.conf,unknown
bazel-bsp,unknown,read,/usr/lib/python3.9/encodings/__pycache__/latin_1.cpython-39.pyc,unknown
project,pkg_name,syscall,path,type
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/iomanip,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/range_cmp.h,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/__fpos64_t.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/memory,transitive
bazel-bsp,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/sigevent_t.h,transitive
bazel-bsp,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Trustis_FPS_Root_CA.crt,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/uniform_int_dist.h,transitive
bazel-bsp,openjdk-17-jre-headless,openat,/etc/java-17-openjdk/security/policy/unlimited/default_local.policy,top
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/bits/hashtable_policy.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/algorithmfwd.h,transitive
bazel-bsp,libc6,read,/usr/lib/x86_64-linux-gnu/libresolv-2.31.so,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/concepts,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/debug/assertions.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/cstdlib,transitive
bazel-bsp,git,read,/usr/share/git-core/templates/hooks/pre-receive.sample,top
bazel-bsp,libkrb5support0,openat,/usr/lib/x86_64-linux-gnu/libkrb5support.so.0.1,transitive
bazel-bsp,libunistring2,read,/usr/lib/x86_64-linux-gnu/libunistring.so.2.1.0,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_iterator_base_funcs.h,transitive
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/DigiCert_Trusted_Root_G4.crt,top
bazel-bsp,libc6-dev,read,/usr/include/unistd.h,transitive
bazel-bsp,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/include/float.h,transitive
bazel-bsp,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libsaproc.so,top
bazel-bsp,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/fcntl2.h,transitive
bazel-bsp,libstdc++-10-dev,read,/usr/include/c++/10/vector,transitive
bazel-bsp,ca-certificates,read,/usr/share/ca-certificates/mozilla/E-Tugra_Certification_Authority.crt,top
bazel-bsp,libstdc++-10-dev,openat,/usr/include/c++/10/bits/locale_facets_nonio.h,transitive
bazel-bsp,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/ctype_inline.h,transitive
